ObjectID,LATITUDE,LONGITUDE,LOC_DOCK,NAV_UNIT_ID,NAV_UNIT_GUID,UNLOCODE,NAV_UNIT_NAME,FAC_TYPE,DATA_RECORD_STATUS,LOCATION_DESCRIPTION,STREET_ADDRESS,CITY_OR_TOWN,STATE,ZIPCODE,COUNTY_NAME,COUNTY_FIPS_CODE,CONGRESS,CONGRESS_FIPS,TOWS_LINK_NUM,TOWS_MILE,WTWY,WTWY_NAME,PORT,PORT_NAME,PSA,PSA_NAME,MILE,BANK,OPERATORS,OWNERS,PURPOSE,HIGHWAY_NOTE,RAILWAY_NOTE,COMMODITIES,CONSTRUCTION,MECHANICAL_HANDLING,REMARKS,VERTICAL_DATUM,DEPTH_MIN,DEPTH_MAX,BERTHING_LARGEST,BERTHING_TOTAL,DECK_HEIGHT_MIN,DECK_HEIGHT_MAX,PARENT_OR_CHILD,SERVICE_INITIATION_DATE,x,y
10904,55.353806,-131.692274,93810-206,0R6J,29122,KTN,"STATE OF ALASKA, KETCHIKAN FERRY TERMINAL BERTHS 1 - 3",Dock,Validated for TOWS,,,KETCHIKAN,AK,99901,Ketchikan Gateway,130,116,00,8097,5,4770,"Tongass Narrows, AK",4827.00,"Ketchikan, AK",,,5,Left,,,,,,"Units (Ferried Autos, Passengers, Railway Cars)",,,,,,,,,,,Parent,01-JAN-1990,-131.692274,55.3538060000001
10905,55.355,-131.69861,93810-208,0UP6,33156,KTN,ALASKA SHIP & DRY DOCK KETCHIKAN WHARF,Dock,Validated for TOWS and Public,"Left bank, Tongass Narrows, Ketchikan, between foot of Heckman Street extended, at mouth of Carlanna Creek.",3801 Tongass Avenue.,Ketchikan,AK,99901,Ketchikan Gateway,130,112,00,8097,5,4770,"Tongass Narrows, AK",4827.00,"Ketchikan, AK",,,5,Left,"Current Operator: Alaska Ship & Dry Dock, Inc. Phone: 907-225-7199 FAX: 907-247-7200",Current Owner: State of Alaska; and Alaska Industrial Development & Export Authority.,Mooring floating drydock; and vessels for repair.,"Via driveway, asphalt, 20 feet wide; from Tongass Avenue, asphalt, 34 feet wide.",None.,,"Steel-sheet-pile cellular bulkhead with concrete-surfaced solid fill; and steel-pipe-pile, concrete-decked extension. Wharf fronted by rubber-cushioned steel-and-timber fender system.","One 10-ton crane on drydock wingwall with 86-foot boom; and one 10-ton, diesel mobile crane with 40-foot boom.  Addi- tional stevedore rental equipment up to 40-ton-capacity is available as required.","At time of survey, plans called for construction of a 2,500-long-ton shiplift on shore side of existing drydock with one 9,600-long-ton floating drydock moored at inner side of 400-foot section. Wharf serves compressed air, sewer, and steam lines.",MLLW (Mean Lower Low Water),35,35,980,980,24,24,,01-JAN-1990,-131.69861,55.3550000000001
10906,55.360833,-131.70611,93810-213,0UET,32871,KTN,KETCHIKAN READY MIX AND QUARRY DOCK,Dock,Validated for TOWS and Public,"Left bank, Tongass Narrows, Ketchikan, approxi- mately 1,000 feet northwest of mouth of Carlanna Creek.",4161 North Tongass Highway.,Ketchikan,AK,99901,Ketchikan Gateway,130,112,00,8097,6,4770,"Tongass Narrows, AK",4827.00,"Ketchikan, AK",,,6,Left,,"Current Owner and Operator: Ketchikan Ready Mix and Quarry, Inc. Phone: 907/225-2925 FAX: 907-225-0518",Mooring vessels.,"Via driveway, unpaved, various widths; from North Tongass Highway, asphalt, 24 feet wide.",None.,,"Timber pile, timber-decked pier with four steel- and two timber-breasting dolphins in line with face.",None.,"Pipeline extending from pier to one 1,300-ton-capacity, cement storage silo at ready-mix concrete plant on opposite side of North Tongass Highway was not used at time of survey (2002).",MLLW (Mean Lower Low Water),10,10,300,300,22,22,,01-JAN-1990,-131.70611,55.3608330000001
11120,55.356944,-131.69972,93810-210,0UER,32869,KTN,"KETCHIKAN PUBLIC UTILITIES, S.W. BAILEY POWER PLANT, FUEL OIL DK",Dock,Validated for TOWS and Public,"Left bank, Tongass Narrows, Ketchikan, at east side of mouth of Carlanna Creek.",3933 Tongass Avenue.,Ketchikan,AK,99901,Ketchikan Gateway,130,112,00,8097,6,4770,"Tongass Narrows, AK",4827.00,"Ketchikan, AK",,,6,Left,,"Current Owner and Operator: City of Ketchikan, Public Utilites. Phone: 907-225-4814 FAX: 907-247-3935",Receipt of fuel oil for plant consumption.,"Via driveway, asphalt, 20 feet wide; from Tongass Avenue, asphalt, 34 feet wide.",None.,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",Small platform with two timber-mooring piles at rear of inner-pile-supported pipeline connection with additional piles supporting pipeline.,None.,"One 4-inch fuel-oil pipeline extends from platform to two steel storage tanks at power plant in rear; total capacity 
9,400 barrels.",MLLW (Mean Lower Low Water),10,10,100,100,,,,01-JAN-1990,-131.69972,55.3569440000001
11121,55.358056,-131.69944,93810-212,0UES,32870,KTN,"SOUTH COAST, KETCHIKAN DOCK",Dock,Validated for TOWS and Public,"Left bank, Tongass Narrows, Ketchikan, at west side of mouth of Carlanna Creek.",4049 Tongass Avenue.,Ketchikan,AK,99901,Ketchikan Gateway,130,112,00,8097,6,4770,"Tongass Narrows, AK",4827.00,"Ketchikan, AK",,,6,Left,,"Current Owner and Operator: South Coast, Inc. Phone: 907-225-6125 FAX: 907-225-2955","Handling construction materials, supplies, and equipment to and from barges; mooring company-owned floating equipment.","Via driveway, asphalt-and-gravel, various widths; from Tongass Avenue, asphalt, 34 feet wide.",None.,,"One 110- by 4-foot steel float with row of three steel- pile breasting dolphins, with access to float via a 
120- by 10-foot approach float with 50- by 5-foot steel gangway. Two work barges moor at inner end of row of steel-breasting dolphins.",Company-owned equipment is available as required.,"Additional berthing space is available on each side of approach float.  Approximately 5 acres of open storage area, office building, and maintance shop is located at rear.",MLLW (Mean Lower Low Water),10,15,200,200,,,,01-JAN-1990,-131.69944,55.358056
11122,55.397222,-131.72888,93810-353,0ZJK,38779,KTN,WARDS COVE FOOD PACKING AND MANUFACTURING (FORAGED AND FOUND),Dock,Validated for TOWS and Public,"Left bank, Tongass Narrows, Ketchikan, at southeast side of Ward Cove.",5961 North Tongass Highway.,Ketchikan,AK,99901,Ketchikan Gateway,130,112,00,8097,9,4770,"Tongass Narrows, AK",,,,,9,Left,,Current Owner and Operator: Wards Cove Packing Co. Phone: 907/225-5030 FAX: 907-225-0754,Receipt of seafood; and handling supplies for fishing vessels.,"Via driveway, asphalt, 15 feet wide; from North Tongass Highway, asphalt, 24 feet wide.",None.,Fish,"Part timber-and-steel-pile, part timber- and steel-decked  wharf with 200- by 15-foot timber float.","One 20-ton, diesel mobile crane with 60-foot boom; two 2-ton electric derricks, each with 12-foot boom; and one 2-ton, electric-hydraulic derrick with 15-foot boom. Storage yard serves nine 1 1/2- to 2-ton, LP-gas and gasoline forklift trucks.",Additional berthing space is available on southeast side of float.  Plant at rear of wharf is used for canning seafood.,MLLW (Mean Lower Low Water),40,40,750,750,25,25,,01-JAN-1990,-131.72888,55.3972220000001
11124,55.4075,-131.7225,93810-372,0RA0,29240,KTN,KETCHIKAN PULP CO. DOCKS,Dock,Validated for TOWS,,,KETCHIKAN,AK,99901,Ketchikan Gateway,130,112,00,8097,9,4770,"Tongass Narrows, AK",,,,,9,Left,,,,,,,,,,,,,,,,,Parent,01-JAN-1990,-131.7225,55.4075
11125,56.474167,-132.39166,93819-101,0UL1,33049,WRG,"STATE OF ALASKA, WRANGELL FERRY TERMINAL DOCK",Dock,Validated for TOWS and Public,"Easterly side of Zimovia Strait, Wrangell, at Wrangell Harbor, at foot of McCormack Street extended.",,Wrangell,AK,99929,Wrangell-Petersburg,280,112,00,8169,0,4802,"Wrangell Harbor, AK",4795.00,"Wrangell, AK",,,0,,,"Current Owner and Operator: State of Alaska, Department of Transportation and Public Facilities. Phone: 907-874-2021 FAX: 907-874-2041",Landing for passenger-and-vehicular ferry.,"Via Stikine Avenue, asphalt, 24 feet wide.",None.,"Units (Ferried Autos, Passengers, Railway Cars)","Steel-lift-tower-supported steel truss, steel-grating- decked transfer bridge with ten steel-pile breasting dolphins in line with face connected by steel catwalk. Wharf fronted by timber-fender system.",None.,Terminal building with staging area and paved parking lot is located at rear.,MLLW (Mean Lower Low Water),24,24,626,626,,,,01-JAN-1990,-132.39166,56.4741670000001
11126,56.463646,-132.382896,93819-112,0UKU,33042,WRG,"WRANGELL OIL, WRANGELL DOCK",Dock,Validated for TOWS and Public,"Easterly side of Wrangell Inner Harbor, Wrangell, at southwesterly side of Zimovia Strait.",1513 Peninsula Street.,Wrangell,AK,99929,Wrangell-Petersburg,280,116,00,8169,0,4802,"Wrangell Harbor, AK",4795.00,"Wrangell, AK",,,0,,"Current Operator: Wrangell Oil, Inc. Phone: 907-874-3276 FAX: 907-874-3865","Current Owner: Wrangel Oil, Inc.",Receipt of petroleum products; and fueling vessels.,"Via Peninsula Street, concrete, 24 feet wide; from Case Avenue.",None.,"Petroleum and Petroleum Products | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases","Foam-filled concrete float with 50- by 5-foot steel-gangway at outer end of a 225- by 10-foot timber-pier approach, with one timber-breasting dolphin on each side in line with face of float.",One electric mast-and-boom derrick with 20-foot boom on approach.,"Float used for mooring recreational craft extends from northerly side of pier approach.  Four 3- and one 2-inch, petroleum-product and fuel-oil pipelines extend from wharf to seven steel storage tanks located at rear; total capacity 5,950 barrels.  Float has eight hose stations for fueling vessels.",MLLW (Mean Lower Low Water),10,10,120,120,24,24,,01-JAN-1990,-132.382896,56.463646
11130,15.226121,145.733866,86100-010,00CP,431,,SAIPAN,Dock,Validated for TOWS,,,,AK,,Aleutians West,16,113,00,8894,0,4902,Northern Mariana Islands,,,,,0,,,,,,,"Units (Ferried Autos, Passengers, Railway Cars) | Other Chemicals and Related Products | Primary Non-Ferrous Metal Products;Fabricated Metal Prods. | All Manufactured Equipment, Machinery and Products | Unknown or Not Elsewhere Classified",,,,,,,,,,,,01-JAN-1990,145.733866,15.226121
11552,55.6875,-132.53277,93814-312,0YPS,37800,KTB,"NORTHLAND SERVICES INC., THORNE BAY TRANSFER BRIDGE",Dock,Validated for TOWS and Public,"Northerly side of Thorne Bay, City of Thorne Bay, at west side of foot of Sandy Beach Road extended.",,Thorne Bay,AK,99919,Prince of Wales-Outer Ketchikan,201,112,00,8089,81,4771,"Clarence Strait, AK",,,,,81,North,"Current Operator: Boyer Alaska Barge Line, Inc. and Petro Alaska, Inc. Phone: 907-828-8830/225-2090 FAX: 907-828-8830","Current Owner: Boyer Towing, Inc.",Receipt and shipment of conventional-and-containerized general cargo; receipt of petroleum products.,"Via Shore Line Drive, unpaved, 24 feet wide.",None.,"Petroleum and Petroleum Products | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Petroleum Products NEC | Other Chemicals and Related Products | Forest Pr","Timber-decked, steel-transfer bridge with three steel-pile breasting dolphins perpendicular to south side of face.","Company-owned stevedore equipment available as required.  Storage yard serves one 27 1/2-, one 15-, and one 6-ton, diesel forklift trucks.","Boyer Alaska Barge Line, Inc.:  Approximately 3 1/2 acres of open storage area is located at rear.
Petro Alaska, Inc.:  One 6- and one 3-inch pipelines extend from wharf to twelve steel storage tanks at rear; total capacity 6,500 barrels.",MLLW (Mean Lower Low Water),10,10,200,200,21,21,,14-FEB-2003,-132.53277,55.6875000000001
12917,55.339444,-131.64,93810-130,0UN1,33117,KTN,"CITY OF KETCHIKAN, THOMAS BASIN HARBOR, FLOATS 1 - 5",Dock,Validated for TOWS and Public,"Left bank, Tongass Narrows, Ketchikan, at easterly side of mouth of Ketchikan Creek.",,Ketchikan,AK,99901,Ketchikan Gateway,130,113,00,8103,3,4770,"Tongass Narrows, AK",4827.00,"Ketchikan, AK",,,3,Left,Current Operator: City of Ketchikan. Phone: 907-228-5632 FAX: 907-247-3610,Current Owner: State of Alaska.,Mooring commercial vessels and recreational craft.,"Via Stedman Street, asphalt, 33 feet wide; and Thomas Street, timber, 17 feet wide.",None.,Fish,"Stone breakwater at shore on south side forming boat basin with four parallel timber floats extending from a 312.5- by 10-foot and 150- by 10-foot, connecting longi- tudinal floats at rear with two approach ramps from east side of basin. ",One 2-ton electric hoist at southeast side of basin.,"City of Ketchikan:  Small-Boat Harbor has berthing space for approximately two-hundred-and-forty vessels. Float 1, a 140- by 10-foot transient float, is located north of Float 2, with access via a 262.5- by 10-foot approach float.  Several timber grids on southeast side of basin  are used for performing bottom-work on hulls during low tide. 
Ketchikan Yacht Club:  Occupies Float 2, a 312.5- by 10-foot float with 32- to 42-foot stalls.
U.S. Fish & Wildlife Service:  Owns float moored to steel piles on north side of basin, with access via covered steel-ramp used for berthing government-owned vessels.",MLLW (Mean Lower Low Water),13,24,75,9600,,,,01-JAN-1990,-131.64,55.3394440000001
12919,55.343611,-131.65166,93810-153,0UNK,33135,KTN,"CITY OF KETCHIKAN, CASEY MORAN (CITY) FLOATS",Dock,Validated for TOWS and Public,"Left bank, Tongass Narrows, Ketchikan, at west side of foot of Cedar Street extended.",,Ketchikan,AK,99901,Ketchikan Gateway,130,113,00,8103,4,4770,"Tongass Narrows, AK",4827.00,"Ketchikan, AK",,,4,Left,,Current Owner and Operator: City of Ketchikan. Phone: 907-228-5632 FAX: 907-247-3610,"Mooring transient vessels, fireboat, and pilot boat.","Via Water Street, asphalt, 30 feet wide.",None.,,"Timber pile, timber-decked wharf with series of timber-and- concrete floats with 50- by 6-foot and 48- by 6-foot approaches from Water Street at rear.",None.,"Up to 90-foot-long vessels berth at floats, with Float 1 (170+225- by 10-foot timber float) fronting wharf; 
Float 4 (110- by 10-foot concrete float) extending from northwesterly side of Float 1; Float 5 (140- by 10-foot concrete float with six stalls on one side) extending from end of Float 4; Float 6 (120- by 10-foot concrete float) extending from end of Float 5; and Float 7 (120- by 11-foot concrete float) extending from end of Float 6. Harbor View Park is located at rear.",MLLW (Mean Lower Low Water),80,80,90,1151,,,,01-JAN-1990,-131.65166,55.3436110000001
12921,55.335278,-131.63111,93810-113,0UMX,33113,KTN,KETCHIKAN NORTHLAND TERMINAL,Dock,Validated for TOWS and Public,"Left bank of Tongass Narrows, Ketchikan, opposite Pennock Island, approximately 2,000 feet southeast of foot of Deermont Street extended.",998 Stedman Street.,Ketchikan,AK,99901,Ketchikan Gateway,130,113,00,8103,3,4770,"Tongass Narrows, AK",4827.00,"Ketchikan, AK",,,3,Left,,"Current Owner and Operator: Northland Services, Inc. Phone: 907-225-2480 FAX: 907-225-2478",Receipt and shipment of containerized general cargo.,"Via driveway, asphalt, 20 feet wide; from Stedman Street, asphalt, 26 feet wide.",None.,"Petroleum Products NEC | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Iron Ore and Iron & Steel Waste & Scrap | Sulphur (Dry), Clay & Salt | Paper & Allied","Steel pile, concrete-decked transfer bridge; and one steel- and-concrete breasting dolphin with steel catwalk extending to shore from northwest side.","One 40- and two 31-ton, diesel forklift trucks.",Approximately 1 acre of partly-paved open storage area is located at rear.,MLLW (Mean Lower Low Water),60,60,280,280,22,22,,01-JAN-1990,-131.63111,55.3352780000001
12994,55.202364,-132.824854,93823-110,0Z2C,38228,HYG,HAIDA WILD ALASKA SEAFOOD AND HYDABURG LOGS DOCK,Dock,Validated for TOWS and Public,"Northern bank of Sukkwan Strait, Hydaburg, at north side of Saltery Point.",,Hydaburg,AK,99922,Prince of Wales-Outer Ketchikan,201,116,00,8016,0,4885,"Hydaburg, AK",4885.00,"Hydaburg, AK",,,0,North,,Current Owner and Operator: Sealaska Timber Corp. Phone: 907-228-7319.225-9444,Shipment of logs.,None.,None.,"Forest Products, Lumber, Logs, Woodchips | Unknown or Not Elsewhere Classified",Three steel-mooring buoys.,Use of ship's gear for handling logs.,Log boom north of Saltery Point is approximately 1.5 miles southeast of Hydaburg.,MLLW (Mean Lower Low Water),25,50,400,400,,,,14-JUN-1995,-132.824854,55.202364
13070,57.054444,-135.34833,94845-407,0U64,32576,SIT,SITKA CITY DOCK,Dock,Validated for TOWS and Public,"Sitka Harbor, Sitka, approximately 0.5 mile northwest of O'Connell Bridge.",,Sitka,AK,99835,Sitka,220,112,00,8050,0,4808,"Sitka Harbor, AK",4796.00,"Sitka Ports and Harbor Commission, AK",,,0,East,,Current Owner and Operator: City of Sitka. Phone: 907/747-3439 FAX: 907-747-6278,Mooring miscellaneous vessels; handling supplies and equip- ment to and from fishing vessels; and occasional mooring of cruise ships and excursion vessels. ,"Via driveway, asphalt, 20 feet wide; from Katlian Street, asphalt, 20 feet wide.",None.,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Sulphur (Dry), Clay & Salt | Paper & Allied Products | Primary Non-Ferrous Metal Products;Fabricated Metal Prods. | All Manufactured Equipment, Machinery and Produc","Steel-sheet-pile bulkhead with part asphalt-surfaced solid fill, with steel-catwalk approach at approximately 50 feet of north end.","One 1-ton, hydraulic mast-and-boom derrick with 15-foot knuckle boom.",-,MLLW (Mean Lower Low Water),37,37,350,350,16,16,,01-JAN-1990,-135.34833,57.054444
13151,57.116111,-135.39611,94845-411,0ZGW,38722,SIT,"HALIBUT POINT MARINE, SITKA DOCK",Dock,Validated for TOWS and Public,"Sitka Sound, Sitka, approximately 4.7 miles north of O'Connell Bridge, at north side of Halibut Point.",4513 Halibut Point Road.,Sitka,AK,99835,Sitka,220,112,00,8050,0,4808,"Sitka Harbor, AK",,,,,0,East,,"Current Owner and Operator: Halibut Point Marine, Inc. Phone: 907-747-4999 : 907-738-9011 FAX: 907-747-6225 : 907-747-3828 | Current Owner and Operator: Mr. Chris McGraw",Mooring vessels for repair.,"Via driveway, asphalt, various widths; from Halibut Point Road, asphalt, 24 feet wide.",None.,,"Part steel-sheet-pile cellular bulkhead with solid fill; and part steel-sheet-pile bulkhead with part concrete- surfaced solid fill at two steel pile, steel-decked piers used for mobile vertical-boat-lift.","One 35-ton, hydraulic mobile crane with 80-foot boom; and one 88-ton, mobile vertical-boat-lift.",Approximately 3 acres of unpaved open storage area at rear is used for boat storage and repair.,MLLW (Mean Lower Low Water),10,10,200,200,12,12,,01-JAN-2012,-135.39611,57.116111
13152,57.128611,-135.37916,94845-503,0U69,32581,SIT,"SAMSON TUG AND BARGE CO., SITKA DOCK",Dock,Validated for TOWS and Public,"Starrigavan Bay, Sitka, approximately 5.7 miles north of O'Connell Bridge, at north side of Halibut Point.",5309 Halibut Point Road.,Sitka,AK,99835,Sitka,220,112,00,8050,0,4808,"Sitka Harbor, AK",,,,,0,South,,Current Owner and Operator: Samson Tug and Barge Co. Phone: 907-747-3020,Receipt and shipment of containerized general cargo; moor- ing company-owned towboats and barges.,"Via plant road, unpaved, various widths; from Halibut Point Road, asphalt, 24 feet wide.",None.,"Petroleum Products NEC | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Iron Ore and Iron & Steel Waste & Scrap | Sulphur (Dry), Clay & Salt | Paper & Allied",Concrete bulkhead with solid fill; and concrete float with 70- by 25-foot steel approach. Bulkhead fronted by timber- fender system.,"Stevedore rental equipment available as required. Open storage area serves one 35-, one 5-, and one 2 1/2-ton, diesel-and-gasoline forklift trucks.",Approximately 1 acre of unpaved open storage area at rear has thirty-six outlets for refrigerated cargo containers.,MLLW (Mean Lower Low Water),30,365,300,550,,,,01-JAN-1990,-135.37916,57.128611
13153,58.388889,-135.72916,94950-200,0UAC,32720,GST,"CITY OF GUSTAVUS, DOCK AND FLOATS",Dock,Validated for TOWS and Public,"Northerly side of Icy Passage, Gustavus, at east side of Salmon River.",,Gustavus,AK,99826,Skagway-Hoonah-Angoon,232,112,00,8061,37,4793,"Icy Strait, AK",,,,,37,North,"Current Operator: Gustavus Dray Co., Inc. and Western Pioneer. Phone: 907-697-2481 FAX: 907-697-2355",Current Owner: State of Alaska.,Receipt and shipment of conventional-and-containerized general cargo; receipt of petroleum products; and mooring miscellaneous vessels.,"Via foot of State Dock Road, asphalt, 24 feet wide.",None.,"Units (Ferried Autos, Passengers, Railway Cars) | Petroleum and Petroleum Products | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Primary Non-Ferrous Metal Products;Fabricated Metal Prods. | Unknown or Not Els","Timber pile, timber-decked offshore wharf with one breasting dolphin on each side in line with face; and one 50- by 12-foot timber float adjacent to east side of face extending from one 170- by 8- to 12-foot and one 75- by 8-foot timber floats moored to steel piles at east side at rear of face. Wharf has one 1,139- by 12-foot approach from shore; and timber float has one 61- by 6-foot steel-gangway approach from wharf.",Stevedore rental equipment is available as required.,"City of Gustavus: Float sections are removed during the winter months.
Gustavus Dray Co., Inc.:  Two 3-inch petroleum-product pipelines extend from wharf to eight steel storage tanks at rear; total capacity 2,500 barrels. ",MLLW (Mean Lower Low Water),15,35,48,235,20,20,,01-JAN-1990,-135.72916,58.3888890000001
13154,58.45556,-135.885,94950-300,0R1L,28954,GST,"NATIONAL PARK SVC, BARTLETT COVE GLACIER BAY NATIONAL PARK & PRES",Dock,Validated for TOWS,,,GUSTAVUS,AK,99826,Skagway-Hoonah-Angoon,232,112,00,8063,41,4793,"Icy Strait, AK",,,,,41,,,,,,,"Units (Ferried Autos, Passengers, Railway Cars) | Petroleum and Petroleum Products | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",,,,,,,,,,,Parent,01-JAN-1990,-135.885,58.45556
13155,58.113333,-135.4475,94952-102,0UAE,32722,HNH,HOONAH TRADING CO. DOCK,Dock,Validated for TOWS and Public,"Easterly side of Port Frederick, Hoonah Harbor, at Chichagof Island.",147 Front Street.,Hoonah,AK,99829,Skagway-Hoonah-Angoon,232,112,00,8062,0,4813,"Hoonah Harbor, AK",4797.00,"Hoonah, AK",,,0,East,,"Current Owner and Operator: Hoonah Trading Co., Division of Wards Cove Packing Co., Inc. Phone: 907-945-3211 FAX: 907-945-3309",Receipt of petroleum products; fueling vessels; and mooring small vessels.,"Via Front Street, asphalt, various widths; from Garteeni Highway, asphalt, 24 feet wide.",None.,"Petroleum and Petroleum Products | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases","Timber pile, timber-decked offshore wharf with one 220- by 10-foot timber approach from shore; and one 90- by 10-foot timber float on south side with 50- by 5-foot gangway approach.","One 3/4-ton, electric mast-and-boom derrick with 12-foot boom.","Three 4-inch petroleum-product pipelines extend from wharf to six steel storage tanks located at rear; total capacity 4,750 barrels. Pipelines serve five hose stations on wharf.",MLLW (Mean Lower Low Water),20,20,100,250,25,25,,01-JAN-1990,-135.4475,58.1133330000001
13156,58.116438,-135.457885,94952-105,0UAG,32724,HNH,"STATE OF ALASKA, HOONAH FERRY TERMINAL DOCK",Dock,Validated for TOWS and Public,"Easterly side of Port Frederick, Hoonah Harbor, at Chichagof Island.",,Hoonah,AK,99829,,105,116,00,8062,0,4813,"Hoonah Harbor, AK",4797.00,"Hoonah, AK",,,0,East,"Current Operator: State of Alaska, Department of Transportation and Public Facilities. Phone: 907-945-3670 FAX: 907-945-3445",Current Owner: State of Alaska.,Landing for passenger-and-vehicular ferry.,"Via Cannery Road, asphalt, various widths; from Front Street and Garteeni Highway, dual lanes, each asphalt, 24 feet wide.",None.,"Units (Ferried Autos, Passengers, Railway Cars)","Steel-float-supported steel truss, steel-grating-decked transfer bridge with seven concrete-and-steel breasting dolphins in line with face.",None.,Terminal building with asphalt-paved parking area is located at rear.,MLLW (Mean Lower Low Water),25,25,400,400,,,,01-JAN-1990,-135.457885,58.1164380000001
13157,57.95972,-136.23083,94954-101,0R1T,28961,PEC,"PELICAN SEAFOODS, SEAFOOD DOCKS",Dock,Validated for TOWS,,,PELICAN,AK,99832,Skagway-Hoonah-Angoon,232,112,00,8058,0,4840,"Pelican Harbor, AK",4898.00,"Pelican, AK",,,0,,,,,,,"Sulphur (Dry), Clay & Salt | Paper & Allied Products | Primary Non-Ferrous Metal Products;Fabricated Metal Prods. | Fish | All Manufactured Equipment, Machinery and Products | Unknown or Not Elsewhere Classified",,,,,,,,,,,Parent,01-JAN-1990,-136.23083,57.9597200000001
13158,57.96,-136.22944,94954-103,0ZGX,38723,PEC,"PELICAN SEAFOODS, FUEL WHARF",Dock,Validated for TOWS and Public,"Easterly side of Lisianski Inlet, Pelican, at northwest side of Small-Boat Harbor.",,Pelican,AK,99832,Skagway-Hoonah-Angoon,232,112,00,8058,0,4840,"Pelican Harbor, AK",4898.00,"Pelican, AK",,,0,East,,"Current Owner and Operator: Pelican Seafoods, Division of Kake Tribal Corp. Phone: 907/735-2204 FAX: 907-735-2281",Receipt of petroleum products; and fueling vessels.,None.,None.,"Petroleum and Petroleum Products | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases","Timber pile, timber-decked offshore wharf with 140- by 10-foot timber approach from boardwalk.",None.,"Three 3-inch petroleum-product pipelines extend from wharf to seven steel storage tanks at rear of boardwalk; total capacity 3,350 barrels.  Wharf has four fueling stations for fueling vessels.",MLLW (Mean Lower Low Water),12,12,60,60,19,19,,01-JAN-1990,-136.22944,57.96
13159,57.957627,-136.227605,94954-104,0UDZ,32843,PEC,"STATE OF ALASKA, PELICAN FERRY TERMINAL DOCK",Dock,Validated for TOWS and Public,"Easterly side of Lisianski Inlet, Pelican, at northeast side of breakwater.",,Pelican,AK,99832,,105,116,00,8058,0,4840,"Pelican Harbor, AK",4898.00,"Pelican, AK",,,0,East,,"Current Owner and Operator: State of Alaska, Department of Transportation and Public Facilities.",Landing for passenger-and-vehicular ferry; occasional mooring of barges.,"Via plant road, gravel, 30 feet wide.",None.,"Units (Ferried Autos, Passengers, Railway Cars)","Three steel pile, concrete-decked transfer bridges at different elevations, each approximately 20 feet in width, with three timber-and-steel dolphins forming slip for ferry and one timber-breasting dolphin in line with face for mooring barges.",None.,Ferry slip is approximately 67 feet wide.,MLLW (Mean Lower Low Water),15,20,185,305,6.7,16,,01-JAN-1990,-136.227605,57.9576270000001
13160,59.55222,-139.74667,94958-250,0QD4,28190,YAK,"SITKA SOUND SEAFOODS, YAKUTAT OCEAN CAPE/CO-OP DOCKS",Dock,Validated for TOWS,,,YAKUTAT,AK,99689,Yakutat,282,112,00,8075,0,4931,"Yakutat Harbor, AK",5004.00,"Yakutat, AK",,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Petroleum Products NEC | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips | S",,,,,,,,,,,Parent,01-JAN-1990,-139.74667,59.55222
